一般的な製品番号,略称,ふりがな,出典,証（表裏・寒熱・虚実）,六病位 ／  虚実,脈,舌,腹,漢方弁証,中医弁証
9,小柴胡湯,しょうさいことう,傷寒論、金匱要略,半・熱・中,少陽病 ／ 虚実中間からやや実証,多くは弦・沈弦・弦軟,紅舌、白苔,腹力中等度、胸脇苦満、心下痞硬、時に腹直筋の異常緊張,"半表半裏証（少陽病）。発熱性疾患の経過中にみられる、発熱、往来寒熱、胸脇部が脹って苦しい（胸脇苦満）、口が苦い、悪心、嘔吐、咳嗽、喉の渇きなど。
または肝鬱化火・脾気虚・痰湿。憂鬱感、イライラ、怒りっぽい、口が苦い、胸脇部が脹って苦しい、寝つきが悪いなどの肝鬱化火に、元気がない、食欲がない、疲れやすいなどの脾気虚と、悪心、嘔吐、咳嗽、多痰などの痰湿を伴うもの。",和解半表半裏・清熱透表、疏肝解欝・補気健脾・和胃止嘔
109,小柴胡湯加桔梗石膏,しょうさいことうかききょうせっこう,本朝経験方,半・熱・中,少陽病 ／ 虚実中間からやや実証,弦,乾燥した白苔・微黄苔,腹力中等度、胸脇苦満、心下痞硬、時に腹直筋の異常緊張,熱証が強い小柴胡湯証。咽痛、口渇、高熱などを伴う。慢性期には再発予防。,和解半表半裏・清熱
19,小青竜湯,しょうせいりゅうとう,傷寒論,表・寒・実,太陽病または太陰病 ／  虚実中間から虚証,浮数・微浮でやや力あり・数・浮弱・ やや弱 弱・軟,無苔、または乾湿中間で微白苔,腹力やや軟で微満、上腹部に振水音、心下満,表寒による寒痰の喘咳。または風水。突然発生する全身浮腫と尿量減少で、表証を伴うことがある。,（別名、温肺去痰湯）辛温解表・温肺去痰・平喘止咳・利水
21,小半夏加茯苓湯,しょうはんげかぶくりょうとう,金匱要略,裏・寒・虚,太陰病 ／ 虚証,軟・沈弱・浮弱・滑,やや湿潤して微白苔,腹力やや軟、上腹部に振水音を認めることが多い,痰飲による胃気上逆。悪心、嘔吐、吃逆に上腹部のつかえ、めまい、動悸を伴うことがある。＋紫蘇葉・厚朴で半夏厚朴湯となる。,和胃降逆・去痰利水
22,消風散,しょうふうさん,外科正宗,表・熱・実,少陽病 ／ 実証から虚実中間,緊やや実数,紅舌、白苔または微黄苔,腹力中等度以上,風湿熱の皮疹。かゆみが強い（夏や夜間に増悪しやすい）、局所の発赤と熱感、浸出液が多いあるいは水泡形成、患部の熱感、口渇など。,疏風・清熱化湿・養血潤燥
101,升麻葛根湯,しょうまかっこんとう,万病回春,表・熱・実,太陽虚実中間から実証,浮やや弱,著変なし,腹力中等度,麻疹（はしか）の初期または類似状態。目の充血、流涙、くしゃみ、はなみず、咳嗽、軽度の悪寒または熱感、発熱、下痢などを伴うことが多い。,肌解透疹・清熱解毒
140,四苓湯,しれいとう,金匱要略,半・中・中,少陽病 ／  虚実中間,浮 浮数・浮弱洪数・浮滑,乾燥した微白苔または白苔,腹力中等度からやや軟、心下痞硬、上腹部に振水音,水湿。尿量減少、口渇するが飲むとすぐに嘔吐する、浮腫、水様の下痢、めまい感、腹部の動悸、身体が重いなどの症状。,利水滲湿・通陽・解表
104,辛夷清肺湯,しんいせいはいとう,外科正宗,半・熱・実,少陽病 ／  実証,弦やや緊,乾燥した白苔,腹力中等度,肺熱の鼻淵。鼻づまり、膿性の鼻汁、頭痛、口渇、咽痛など。,清熱解毒・通竅・潤肺去痰・止咳
66,参蘇飲,じんそいん,和剤局方,表・寒熱・中,少陽病から太陽病 ／ 虚実中間から虚証,浮やや緊細数・沈数,乾湿中間で微白苔,腹力中等度,気虚湿痰の風寒咳嗽。咳嗽、多痰、鼻水、鼻閉、発熱、軽度の悪寒、頭痛、身体痛、咽痛などの表証を伴い、食欲不振、元気がない、疲れやすいなど気虚がみられるもの。総合感冒薬。,益気解表・去痰止咳・理気和胃
85,神秘湯,しんぴとう,外台秘要,裏・寒・虚,少陽病 ／ 実証,弦やや緊,乾燥した白苔,腹力中等度、時に胸脇苦満・腹直筋の緊張,肝気鬱結の喘咳。咳嗽、呼吸困難、喘鳴、少痰とともに、イライラ、ゆううつ感、胸脇部が脹って苦しいなどの肝気鬱結の症候を伴うもの。,止咳平喘・疏肝解欝・理気去痰
30,真武湯,しんぶとう,傷寒論,裏・寒・虚,少陰病虚証,沈微・沈弱・沈・微細・微弱・遅弱,湿潤して無苔・鏡面舌時に微白苔,軟から軟弱、上腹部に振水音のあることが多い、心下悸,陽虚水泛・少陰病。浮腫（特に下半身）、尿量減少、泥状～水様便、四肢が重だるい、冷え、寒気、疲れやすい、元気がない、横になっていたい。口渇はない。,温陽利水
58,清上防風湯,せいじょうぼうふうとう,万病回春,表・熱・実,少陽病 ／  実証,弦,乾湿中間で白苔,腹力中等度,上焦の風熱の皮疹。身体上部（特に顔面） の発赤、熱感、かゆみ、疼痛、化膿傾向をもつ皮疹で、顔面紅潮、口渇などを伴うことが多い。,去風・清熱解毒・止痛
136,清暑益気湯,せいしょえっきとう,医学六要,裏・熱・虚,少陽病 ／ 虚証,やや軟・やや弱,湿潤して微白苔,腹力やや軟、心下部痞満、煩悶感,気津両傷。疲労感、倦怠感、息切れ、食欲減退などの気虚と、口渇、咽の渇き、尿量減少などの津虚があるもの。発熱、腹痛、下痢などの湿熱を伴うこともある。,益気生津・清熱化湿
111,清心蓮子飲,せいしんれんしいん,和剤局方,裏・熱・虚,少陽病 ／ 虚証,弦やや弱 沈細数 沈細無力,紅舌、微白苔,腹力やや軟、心下痞または痞硬,気陰両虚・心火旺。元気がない、疲れやすい、気力がない、食欲不振などの気虚に、イライラ、焦燥感などの精神症状、不眠、多夢、口や咽の乾燥感、動悸、手のひらや足のうらのほてりなどの陰虚火旺を伴う。頻尿、排尿痛、残尿感、尿量減少なども。,益気滋陰・清心火・止淋濁
90,清肺湯,せいはいとう,万病回春,裏・熱・虚,少陽病 ／ 虚実中間から虚証,弦やや弱,湿潤して微白苔,腹力やや軟,肺熱、肺陰虚。慢性の咳嗽、粘稠で切れにくい多量の喀痰、咽痛などの肺熱、体のほてり、のぼせ、イライラ、口渇、嗄声などの陰虚を伴う。痰の引っかかりを取ろうと咳をする状態が続くもの。,清肺止咳・去痰・滋陰
124,川きゅう茶調散,せんきゅうちゃちょうさん,和剤局方,表・寒・中,,,,,風寒の頭痛。突発性の頭痛で、悪寒、発熱などの表証を伴う。,疏風散寒・止頭痛
53,疎経活血湯,そけいかっけつとう,万病回春,裏・寒・虚,太陰病 ／ 虚証,やや軟・やや弱・沈細,淡紅舌,腹力やや軟、時に下腹部に抵抗と圧痛,血虚の風湿痺。四肢や体の痛み痺れ、関節の運動障害などの風湿痺の症候に、皮膚につやがない、しびれ、筋肉の引きつりなどの血虚を伴うもの。,去風湿・補血・活血化お
84,大黄甘草湯,だいおうかんぞうとう,金匱要略,裏・熱・実,少陽病 ／ 虚実中間からやや実証,沈遅沈微緊やや数,時に白苔,腹力中等度、微満,便秘。,通便
33,大黄牡丹皮湯,だいおうぼたんぴとう,金匱要略,裏・熱・実,陽明病 ／ 実証,遅緊沈実 弦緊,紅舌、 乾燥した黄苔,腹力中等度以上、下腹部の主に回盲部に抵抗と圧痛がある(小腹腫),腸癰（虫垂炎など）。発熱、腹痛（特に臍の右下部）、下腹部の圧痛あるいは抵抗、便秘など。,清熱瀉下・活血消癰
100,大建中湯,だいけんちゅうとう,金匱要略,裏・寒・虚,太陰病から少陰病 ／ 虚証,一般に脈力は非常に低下している,湿潤して灰白色苔,腹壁薄く軟弱無力、腹壁を通して腸蠕動の様子が目視できる,"脾胃虚寒の疝痛。元気がない、食欲不振、腹が張る、手足や腹の冷えなどの脾胃虚寒があり、寒冷刺激などによって激しい腹部仙痛が生じるもの。腹壁が弛緩したものでは腸蠕動が見られる。
脾胃実寒の疝痛。寒冷の環境や飲食物などで急激に発生した腹部仙痛全般。",温中散寒・解痙止痛・補気健脾
8,大柴胡湯,だいさいことう,傷寒論、金匱要略,半・熱・実,少陽病 ／ 実証,沈実沈遅弦大にして力あり,乾燥した白黄黄苔,腹力中等度以上、胸脇苦満、心下痞硬、肉の厚い腹直筋が緊張,"少陽陽明合病。往来寒熱、心下部のつかえ、悪心、イライラ、口が苦いなどの半表半裏証（少陽病）に、腹部膨満感、腹痛、便秘あるいは下痢の裏熱（陽明病）を伴うもの。
肝鬱化火・胃気上逆：憂鬱感、イライラ、怒りっぽい、不眠、顔面紅潮、目の充血、胸脇部が張って苦しい、口が苦いなどの肝鬱化火の症候に、悪心、嘔吐、上腹部膨満感、便秘などの胃気上逆を伴うもの。",和解半表半裏・瀉下熱結、疏肝解欝・理気止嘔・清熱瀉下
319,大柴胡湯去大黄,だいさいことうきょだいおう,傷寒論、金匱要略,半・熱・実,少陽病 ／ 実証,沈実沈遅弦大にして力あり,乾燥した白黄黄苔,腹力中等度以上、胸脇苦満、心下痞硬、肉の厚い腹直筋が緊張,大柴胡湯証で便秘がないもの。,和解半表半裏・瀉下熱結、疏肝解欝・理気止嘔・清熱瀉下
133,大承気湯,だいじょうきとう,傷寒論、金匱要略,裏・熱・実,陽明病 ／ 強実証,沈遅実 沈遅数滑大数・時に弦,乾燥し亀裂を生じる、黄苔または黒苔,腹力充実し、臍を中心に膨満して堅満である,熱結。陽明病腑実・裏実熱で、高熱、発汗、便秘、腹部膨満感、腹痛、圧痛が強い、口渇、尿が濃いなど。,峻下熱結
97,大防風湯,だいぼうふうとう,和剤局方,裏・寒・虚,太陰病から少陰病 ／ 虚証,弦やや弱,湿潤して白苔,腹力やや軟から軟,気血両虚、肝腎不足の風寒湿痺。四肢や体のしびれ痛み、冷え、運動障害、軽度の浮腫などの風寒湿痺の症候に、疲れやすい、元気がない、食欲不振、顔色が悪い、頭がふらつく、皮膚につやがないなどの気血両虚、腰や膝に力がないなどの肝腎不足の症候を伴うもの。,去風湿・散寒・気血双補・益肝腎・活血止痛
91,竹じょ温胆湯,ちくじょうんたんとう,万病回春,半・熱・虚,少陽病から太陰病 ／ 虚証,やや軟・やや弱,湿潤して微白苔,やや軟,発熱性疾患の経過に生じる痰熱上擾。痰と発熱を伴う不眠や、イライラ、怒りっぽい、胸脇部の脹った痛み、腹部膨満感などの肝気鬱結と、疲れやすい、食欲がない、口渇などの気陰両虚を伴うもの。,清化去痰・和胃降逆・清熱解欝・滋陰益気
59,治頭瘡一方,ちずそういっぽう,本朝経験方,表・熱・実,少陽病 ／ 実証,やや実,乾燥した微白苔,腹力中等度,頭部の風湿熱の皮疹。かゆみ、発赤、熱感、化膿傾向、水疱や滲出物など。,去風・清熱解毒・活血化お
89,治打撲一方,ちだぼくいっぽう,香川家方,半・中・中,少陽病 ／ 虚実中間からやや実証,弦,乾湿中間で白苔,腹力中等度,打撲、捻挫による腫脹疼痛。,活血化お・消塊・通陽
74,調胃承気湯,ちょういじょうきとう,傷寒論,裏・熱・実,陽明病 ／ やや実証から実証 ,沈実・沈数・遅実・数急・浮,乾燥して白苔から黄苔,腹力やや実、微満から軽度の腹満,強い腹部膨満感などを伴わない一般的な便秘。大黄甘草湯＋芒硝。,清熱瀉下
47,釣藤散,ちょうとうさん,本事方,裏・熱・虚,陽病 ／ 虚実中間,弦やや緊,乾湿中間で白苔,腹力わずかに軟から軟まで、時に心下痞硬,脾胃気虚・痰湿の肝陽化風。頭のふらつき、めまい、頭痛、耳鳴、顔面紅潮、目の充血、目がかすむ、いらいら、肩こり、眠りが浅い、手足のふるえなどの肝陽化風に、食欲不振、元気がない、疲れやすい、悪心、嘔吐、咳嗽、喀痰などの脾気虚、痰湿の症候を伴う。起床時の頭痛や目の奥の痛みによく用いられる。,平肝熄風・明目・補気健脾
320,腸癰湯,ちょうようとう,集験方,裏・熱・実,少陽病 ／ 虚実中間,弦やや弱・ やや数,乾湿中間で微白苔、または黄苔,腹力中等度、回盲部の圧痛と硬結,お血・下焦の湿熱。回盲部の圧痛と硬結、下腹部痛、月経異常などがあるもの。,清熱排膿・活血化お・清熱解毒
40,猪苓湯,ちょれいとう,傷寒論、金匱要略,裏・熱・やや虚,少陽病 ／ 虚実中間からやや虚証,発熱を伴う場合には浮・浮緊・数・数滑,紅舌、微白苔から黄苔,やや軟,下焦の湿熱・水毒・血症。尿量減少、頻尿、排尿痛、残尿感などの湿熱に、口渇や乏尿などの水毒、イライラ、不眠などの精神症状、血尿や出血などの血症を伴うこともある。,利湿清熱・滋陰止血
112,猪苓湯合四物湯,ちょれいとうごうしもつとう,傷寒論,裏・熱・虚,少陽病から太陰病 ／ 虚証,弦やや弱,乾湿中間の微白苔,やや軟,お血と湿熱。お血に発熱、熱感、口渇、排尿障害、尿量減少がみられ、イライラ、不眠などを伴うことがある状態。,利湿清熱・滋陰止血・補血活血
105,通導散,つうどうさん,万病回春,裏・熱・実, 陽明病から少陽病 ／ 実証,弦・緊・沈渋,暗紅色または帯紫色、白苔を伴うことがある,腹部全体が膨満、腹力は充実、心下痞硬、下腹部に抵抗と圧痛、時に腹直筋の緊張,お血・気滞。お血の症候に、胸苦しい、腹が張る、便秘などの気滞の症候を伴い、ひどければ乏尿、狂躁状態を呈するもの。,理気活血・破血逐お・瀉下
61,桃核承気湯,とうかくじょうきとう,傷寒論,裏・熱・実,陽明病 ／ 実証,実もしくは緊,舌体は暗赤色、乾燥した黄苔、 時に無苔,腹力中等度以上、下腹部緊満、主に左腸骨窩に抵抗と圧痛(小腹急結),下焦のお血。下腹部の痛みや圧痛あるは抵抗、不正性器出血、月経困難、便秘などの症候があり、下肢の冷え、下腿部静脈怒張、外痔核、のぼせ、頭痛、肩こり、鼻出血、不眠、動悸などを伴うこともある。甚だしい場合には意識障害や狂躁状態を呈する。,清熱瀉下・活血逐お
86,当帰飲子,とうきいんし,済生方,裏・寒・虚,太陰病 ／ 虚証,やや軟・やや弱・細,暗紅舌、微白苔,腹力やや軟,お血生風。皮膚がかさかさしてつやがない。粃糠様の落屑、小さな皸裂、遊走性のかゆみ、かきむしって少量の出血がみられる、発赤や滲出物が無い虚証の皮膚炎。老人性の乾燥性皮膚掻痒症に。,補血潤燥・止痒
123,当帰建中湯,とうきけんちゅうとう,金匱要略,裏・寒・虚,太陰病 ／ 虚証,浮弱・沈弱・沈・微細・小・檣・遅・浮大,舌質は正常または淡紅,腹力軟、腹壁薄い、腹直筋全体にベニヤ板状の緊張,血虚の腹痛。顔色がさえない、不活発、やや疲れやすい、食が細いなどの体質で、ときに腹痛があり温めたり押さえたりすると軽減するもの。さらに皮膚につやがない、しびれなどの血虚を伴うもの。,補血調経・緩急止痛・温中補虚
38,当帰四逆加呉茱萸生姜湯,とうきしぎゃくかごしゅゆしょうきょうとう,傷寒論,裏・寒・虚,太陰病 ／  虚証,細・沈・細弱・沈微・微細,湿潤して無苔,やや軟から軟、腹満、多くは心下痞・腹直筋の緊張、時に上腹部に振水音,血虚受寒。寒冷によって生じる、四肢や下腹部の冷えと痛み、しびれ、しもやけ、下痢など。,温経散寒・養血通脈
23,当帰芍薬散,とうきしゃくやくさん,金匱要略,裏・寒・虚,太陰病 ／  虚証,沈・遅・弱・軟弱・細小,淡白舌、無苔,腹力やや軟から軟、下腹部の硬満、上腹部に振水音、しばしば臍下悸,血虚・脾虚湿盛。皮膚につやがない、頭痛、手足の痺れ感、筋の痙攣、月経量が少ない、月経遅延、月経痛などの血虚に、食欲不振、疲れやすい、顔や手足のむくみ、頭が重い、頭冒感、腰や四肢の冷え、腹痛、泥状～水様便、白色帯下、尿量減少などの脾虚湿盛を伴うもの。沢瀉が寒性のため、強い冷えを伴う場合は附子を加える。,補血活血・健脾利水・調経止痛
143,当帰芍薬散加附子,とうきしゃくやくさんかぶし,金匱要略,裏・寒・虚,太陰病 ／  虚証,沈・遅・弱・軟弱・細小,淡白舌、無苔,腹力やや軟から軟、下腹部の硬満、上腹部に振水音、しばしば臍下悸,当帰芍薬散証で強い冷えを伴うもの。,補血活血・健脾利水・調経止痛
102,当帰湯,とうきとう,千金方,裏・寒・虚,太陰病 ／ 虚証,やや軟・やや弱・微細・沈細弱・遅弱,淡白舌、微白苔,腹力やや軟、上腹部膨満の傾向、時に臍上悸・臍下悸,気血両虚の寒痛。疲れやすい、元気がない、食欲不振、皮膚につやがない、四肢の痺れなど気血両虚の症候に、冷えると増強する腹痛、腹部膨満、腹や四肢の冷えなどの寒痛を伴うもの。痛みは痙攣性で甚だしいと背部に突き抜ける。,補気養血・温中散寒・理気去痰
88,二朮湯,にじゅつとう,万病回春,表・寒・虚,少陽病から太陰病 ／ 虚実中間,弦やや弱・ 滑,乾湿中間で微白苔,腹力やや軟,湿痺。筋肉や関節のだるさしびれ痛み、運動障害、軽度の浮腫など。,去風湿・去痰利水
81,二陳湯,にちんとう,和剤局方,裏・寒・虚,太陰病 ／ 虚証,やや軟・ やや弱・沈弦細・沈滑,湿潤して微白苔,腹力やや軟心下痞と上腹部に振水音がある,肺胃の痰湿。白色で多量の喀痰、咳嗽、口がねばる、悪心、嘔吐などがあり、めまい感、動悸、不眠などを伴うこともある。,燥湿去痰・理気和中
67,女神散,にょしんさん,浅田家方,半・熱・やや実,少陽病 ／ 虚実中間からやや実証,弦やや緊,乾燥した白苔,腹力中等度、しばしば心下痞硬。胸脇苦満はない,気血両虚の気滞・心火旺。のぼせ、めまい、頭痛、不眠、イライラ、肩こり、動悸などの心火旺と、憂鬱感、胸苦しい、腹が張る、悪心、腹痛などの気滞に、目がかすむ、しびれ、食欲不振、元気がない、月経不順、月経量が少ないなどの気血両虚を伴う。などを伴うこともある。加味逍遥散証と似ているが本方の場合は症状が一定する傾向があって中間証、加味逍遥散は症状が様々に移り変わる（逍遥する）傾向があってやや虚証である。,理気活血・気血双補・清心火
32,人参湯,にんじんとう,傷寒論,裏・寒・虚,太陰病 ／ 虚証,遅緩・遅弱・弦細・沈弱・沈遅・軟・やや弱・弱・浮・数檣,湿潤して微白苔,軟弱、腹部全体が膨満、心下痞硬、しばしば上腹部に振水音、触ると冷えている,脾胃虚寒（脾胃陽虚）。倦怠感、食欲不振、息切れ、声に力がない、味がない、腹がよく脹るなどの脾胃気虚に、腹痛（冷えると増強し温めたり押さえたりすると軽減する）、吐き気、嘔吐、つばやよだれが多い、尿が薄く多量、手足や腹の冷え、泥状～水様便（ときには便秘）などの虚寒を伴うもの。口は渇かないか、飲む場合には温かいものを好む。,温中散寒・補気健脾
108,人参養栄湯,にんじんようえいとう,和剤局方,裏・寒・虚,大陰病から少陰病 ／ 虚証,軟やや弱,湿潤し、多くは無苔,腹力やや軟,気血両虚・虚寒。健忘、眠りが浅い、動悸などの心血虚の症候や、自汗、息切れ、咳嗽、喀痰などの肺気虚の症候に、寒け、四肢の冷えなどの虚寒の症候を伴うもの。,気血双補・安神・去寒・止咳
122,排膿散及湯,はいのうさんきゅうとう,吉益東洞経験方,やや表・熱・中,,,,,化膿性疾患全般。,清熱解毒・去痰排膿・止痛・和胃
29,麦門冬湯,ばくもんどうとう,金匱要略,裏・熱・虚,少陽病 ／ 虚証,数虚浮大数やや軟・やや弱,乾燥、またはやや湿潤し、微白苔から黄苔,やや軟、しばしば心下痞硬,肺気陰両虚。慢性の咳嗽、咽喉の乾燥感と刺激感、少量の粘痰または無痰、口渇などの肺陰虚と、息切れ、疲れやすいなどの気虚がみられる。発作のように咳き込みが続き、顔が紅潮する傾向がある。,滋陰益気・補益肺胃・降気
7,八味地黄丸（八味丸）,はちみじおうがん（はちみがん）,金匱要略,裏・寒・虚,太陰病 ／ 虚証,動脈硬化症にみられる硬い脈,紅舌、微白苔または無苔,腹力やや軟から軟、臍下不仁、しばしば下腹部の腹直筋の緊張(小腹拘急)や臍傍の動悸,腎陽虚。腰や膝がだるく力がない、ふらつき、耳鳴、下半身や四肢の冷え、寒がり、インポテンツ、尿量が少なく頻回あるいは尿量過多、排尿困難、失禁、夜間頻尿、遺尿など。浮腫を伴うことも。ほてり、口渇、イライラなどの陰虚みられることも。,温補腎陽
16,半夏厚朴湯,はんげこうぼくとう,金匱要略,裏・寒・やや虚,太陰病 ／ やや虚証,沈弱・沈数・やや軟・やや弱・軟弱,湿潤して無苔,やや軟、心下痞、微満、 多くは上腹部に振水音,痰飲による胃気上逆・肺の痰湿・梅核気（痰気鬱結）。悪心、嘔吐、吃逆、?気、上腹部膨満感などに、咳、喀痰、咽喉部の刺激感、嗄声を伴い、喉に梅の種大の塊や肉片がへばりついた感覚があり、吐こうとしても出ず、飲み込んでもとれない場合がある。,理気降逆・去痰散結
14,半夏瀉心湯,はんげしゃしんとう,傷寒論、金匱要略,半・熱・中,少陽病 ／ 虚実中間からやや虚証,弦・弦やや弱・沈微緊細で力あり,多くは乾湿中間で白苔,腹力やや軟、心下部の抵抗・圧痛・痞塞感,脾胃不和。悪心、嘔吐、吃逆、上腹部の膨満感とつかえなどの胃気上逆に、腹鳴、下痢などを伴うもの。,和胃降逆・消痞・止瀉・清熱・調和腸胃
37,半夏白朮天麻湯,はんげびゃくじゅつてんまとう,脾胃論,裏・寒・虚,太陰病から少陰病 ／ 虚証,やや軟・やや弱,湿潤して白苔,腹力やや軟、しばしば上腹部に振水音,脾気虚の痰濁上擾。めまい、頭がふらつく、頭が重い、悪心、嘔吐などの痰濁上擾に、食欲不振、元気がない、疲れやすい、胸腹部が脹って苦しい、泥状～水様便などの脾気虚を伴う。本方はめまい・頭痛・嘔吐の順で強く、呉茱萸湯は嘔吐・頭痛・めまいの順に強い。,去痰熄風・補気健脾・利水消食
34,白虎加人参湯,びゃっこかにんじんとう,傷寒論、金匱要略,裏・熱・実,陽明病 ／ 実証,洪大 洪数・滑・緊・浮滑数,乾燥し亀裂している場合多し、厚い白苔か黄苔、焦黄苔,腹力中等度からやや軟、心下痞硬、上腹部に振水音,熱盛・裏の熱証と亡津液。喉が渇く、汗が出る、尿意頻数に、高熱、ほてり、かゆみ、口臭、乾燥肌、大便の乾燥などを伴うもの。,清熱瀉火・生津止渇・補気
69,茯苓飲,ぶくりょういん,金匱要略,裏・寒・虚,太陰病 ／ 虚実中間からやや虚証,沈弱・沈遅沈弦・やや軟・やや弱,多くは湿潤して無苔から厚い白苔,腹力やや軟から軟、心下痞硬、上腹部に振水音,胃の痰飲・脾気虚。上腹部膨満感、胃部振水音、尿量減少、呑酸、嘔吐などの胃の痰飲に、食欲不振、疲れやすい、元気がない、食べると腹がはるなどの脾気虚を伴うもの。,理気去痰・和胃降逆・健脾益気
116,茯苓飲合半夏厚朴湯,ぶくりょういんごうはんげこうぼくとう,本朝経験方,裏・寒・虚,太陰病 ／ 虚実中間からやや虚証,やや軟・やや弱,乾湿中間の白苔,腹力やや軟、心下痞硬、上腹部に振水音,脾気虚・痰飲・気滞。食欲不振、疲れやすい、元気がない、食べると腹が張るなどの脾気虚に、上腹部膨満感、胃部振水音、尿量減少、呑酸、嘔吐などの痰飲、憂鬱感、咽のつかえ感を伴うもの。,理気去痰・散結・和胃降逆・健脾益気
410,附子理中湯,ぶしりちゅうとう,直指方,裏・寒・虚,太陰病 ／ 虚実中間からやや虚証,やや軟・やや弱,乾湿中間の白苔,腹力やや軟、心下痞硬、上腹部に振水音,人参湯証で強い冷えを伴うもの。,温中散寒・補気健脾
79,平胃散,へいいさん,和剤局方,半・中・中,少陽病 ／ 虚実中間から実証 ,弦やや緊,乾湿中間で白苔,腹力中等度、心下膨満、時に上腹部に振水音,湿困脾胃。湿邪による胃腸障害で、上腹部膨満、胸がつかえる、腹痛、口がねばる、味がない、食欲不振などがあり、悪心、嘔吐、下痢、四肢が重だるいなどを伴うことも。,理気化湿・胃和
20,防已黄耆湯,ぼういおうぎとう,金匱要略,裏・寒・虚,太陰病 ／ 虚証,やや浮・やや弱・浮弱数・ 緩,湿潤して無苔、または微白苔,腹力やや軟、時に膨満して力なく、横になると蛙のように横にひろがる,"気虚の風水。浮腫 、悪風～悪寒、体がだるい、尿量減少等の風水に、自汗、息切れ、元気がないなどの気虚を伴うもの。
気虚の風湿。急に生じる関節痛や腫脹、全身が重だるいなどの風湿に、自汗、息切れ、疲れやすい、元気がないなどの気虚を伴うもの。",補気健脾・利水消腫・去風止痛
62,防風通聖散,ぼうふうつうしょうさん,宣明論,表裏全体・熱・実,陽明病 ／ 実証,弦やや緊弦数・沈実滑数,紅舌、乾燥して厚い白苔か黄苔,腹力強実、腹部の皮下脂肪が厚く、弾力性があり太鼓腹状に膨満,表寒、裏実熱。咳嗽、鼻閉、呼吸困難などの表寒に、口が苦い、口渇、目の充血、咽痛、イライラなどの半表半裏、腹部膨満感、便秘、尿が濃いなどの裏実熱を伴う。三焦表裏皆実すを治す。元来は顔面の化膿性疾患に用いられた。,辛温解表・清熱解毒・瀉下・利水
41,補中益気湯,ほちゅうえっきとう,内外傷弁惑論,裏・寒・虚,太陰病から少陽病 ／ 虚証,浮大弱・弱・軟弱・微細・浮で力がない・散大で力がない,湿潤して無苔、または微白苔,腹力やや軟、または軟弱、臍上悸・臍下悸、時に胸脇苦満,脾胃気虚・中気下陥・清陽不升・脾不統血。元気がない、疲れやすい、四肢がだるい、動作がおっくう、立ちくらみ、食後眠くなる、食欲不振、味がしない、声が小さい、汗をかきやすい、息ぎれ、胃下垂、脱肛、子宮脱、ヘルニアなど。,補気健脾・升陽挙陥・甘温除熱
27,麻黄湯,まおうとう,傷寒論,表・寒・実,太陽病 ／ 実証,浮緊緊・数,著変なし,腹力中等度以上,表寒・表実。悪寒、無汗、発熱、頭痛、身体痛、咳嗽、呼吸困難などで、鼻閉、鼻水、ふるえなどを伴うことが多い。,辛温解表・止咳平喘
127,麻黄附子細辛湯,まおうぶしさいしんとう,傷寒論,表・寒・虚,少陰病と太陽病の病 ／ 虚証,沈沈細沈細数・浮弱,著変なし,軟、時に上腹部に振水音,陽虚の表寒。高齢者の風邪、のどチクの風邪、背中の寒気、水様の鼻水などに。桂枝加苓朮附湯との併用で帯状疱疹後神経痛に。小青竜湯証で冷えが強いものに追加など、様々な使い方がある。,補陽・辛温解表・利水
55,麻杏甘石湯,まきょうかんせきとう,傷寒論,表・熱・実,少陽病 ／ 実証,浮数 浮数実・弦やや緊・遅,乾燥した白苔,腹力中等度、一見軟の場合にも底力がある,肺熱の喘咳。咳、呼吸困難、呼吸促迫、口渇、熱感、発熱などの症候がある熱性の風邪や喘息に。,清肺平喘・止咳
78,麻杏よく甘湯,まきょうよくかんとう,金匱要略,表・寒・実,少陽病から太陽病 ／ 実証,弦やや緊・ 浮数緊・ 浮・やや沈で力あり,乾湿中間で白苔,腹力中等度,風湿の表証。筋肉や関節の腫れ痛み、午後のほてり、乾燥肌など。関節痛よりも筋肉痛や神経痛に用いる。慢性化したものにはよく苡仁湯を用いる。,去風湿・解表・止咳平喘
126,麻子仁丸,ましにんがん,傷寒論、金匱要略,裏・熱・虚,少陽病 ／ 虚証,やや軟・細 浮でありながら重接すると扎,乾湿中間で微白苔,やや軟,腸燥便秘。兎糞状の便または便秘がみられるもの。高齢者の便秘で熱証がないもの。熱証があり、燥証も強ければ潤腸湯。,潤腸通便
36,木防已湯,もくぼういとう,金匱要略,裏・熱・実,少陽病 ／ 虚証,沈緊 浮緊やや数,乾燥した白苔、または微白苔,腹部全体が膨満、心下痞堅,支飲（胸部の痰飲）。呼吸困難、呼吸促進、浮腫、身体が重だるい、尿量減少などで、咳嗽、喀痰を伴う。また、口渇、イライラ、発熱などの熱証を伴う。,利水滲湿・益気・清熱
P72,ヨクイニン,よくいにん,,半・中・中,,,,,ウイルス感染によるいぼ。肌荒れなど。,清熱排膿
