一般的な製品番号,略称,症状
16,半夏厚朴湯,"不安神経症,神経性胃炎,不眠症,ノイローゼ,ストレス,落ち込み,思い悩み,声がかすれる,のどに引っかかる,痰,吐き気,つわり,ガス溜まり,華奢,過緊張,のどが引っかかる,抑うつ,繊細,憂鬱,不安,不眠,感情不安定,動悸,げっぷ,食欲不振,悪心,吐き気,嘔吐,むくみ,頭痛,頭重,疲れやすい,疲労感,無気力,貧血,手足の冷え,"
14,半夏瀉心湯,"げっぷ,胸やけ,急性胃腸炎,食あたり,吐き気,下痢,口臭,食欲不振,悪心,嘔吐,お腹が鳴る,口臭,口が苦い,頭痛,不眠,動悸,神経過敏,不安,口内炎,口角炎,二日酔い,"
37,半夏白朮天麻湯,"めまい,頭痛,吐き気,疲れやすい,食欲不振,華奢,疲労感,食後眠い,胃腸が弱い,胃腸虚弱,動悸,息切れ,悪心,嘔吐,頭重,耳鳴り,手足の冷え,立ちくらみ,低血圧,"
34,白虎加人参湯,"口渇,のどが渇く,汗かき,多尿,水分をたくさん飲む,頻尿,赤ら顔,熱中症,赤くてかゆい皮膚炎,トイレが近い,水をよく飲む,高熱,ほてり,モヤモヤ,落ち着かない,口臭,舌が渇く,乾燥肌,便秘,尿崩症,全身が熱い,アトピー,発赤,かゆみ,"
69,茯苓飲,"お腹の張り,ガス溜まり,上腹部膨満感,げっぷ,嘔吐,悪心,吐き気,不眠,抑うつ,食欲不振,食後すぐ吐く,疲れやすい,疲労感,体重減少,貧血,胃炎,神経性胃炎,胃下垂,胸のつかえ,みとぞちの使え,吐くと楽になる,"
116,茯苓飲合半夏厚朴湯,"不安神経症,神経性胃炎,お腹の張り,ガス溜まり,上腹部膨満感,げっぷ,嘔吐,悪心,吐き気,不眠,抑うつ,食欲不振,食後すぐ吐く,疲れやすい,疲労感,体重減少,貧血,胃炎,神経性胃炎,胃下垂,胸のつかえ,みとぞちの使え,吐くと楽になる,ノイローゼ,ストレス,落ち込み,思い悩み,声がかすれる,のどに引っかかる,痰,つわり,華奢,過緊張,のどが引っかかる,抑うつ,繊細,憂鬱,不安,不眠,感情不安定,動悸,むくみ,頭痛,頭重,疲れやすい,疲労感,無気力,貧血,手足の冷え,"
410,附子理中湯,"下痢,冷えが強い,胃が弱い,よだれ,腹痛,食欲不振,胸のつかえ,顔色が悪い,顔が白い,手足の冷え,吐き気,悪心,嘔吐,胃酸の逆流,しゃっくり,お腹が空くが食べられない,お腹の冷え,悪寒,寒がり,むくみ,頭重,めまい,疲れやすい,疲労感,貧血,冷えると下痢,下痢すると腹痛が止む,しびれ,お腹が痛む下痢,"
79,平胃散,"消化不良,食欲不振,食べ過ぎ,胃もたれ,食欲不振,吐き気,悪心,みぞおちのつかえ,げっぷ,嘔吐,腹部膨満感,お腹の張り,息切れ,食後にお腹が鳴る,しゃっくり,味がしない,下痢,咳,消化不良,胃酸過多,胃アトニー,過食症,実証の腹痛,慢性胃炎,"
20,防已黄耆湯,"ダイエット,皮下脂肪が多い,汗かき,色白,関節痛,水太り,膝に水が溜まる,疲れやすい,むくみ,汗が出る,ぽちゃぽちゃ,疲労感,腋臭,"
62,防風通聖散,"肥満症,ダイエット,メタボ,内臓脂肪,アトピー,便秘,お腹の張り,太鼓腹,皮下脂肪,充血,発疹,化膿,ほてり,疲れやすい,鼻づまり,不眠,肩こり,感情不安定,むくみ,生理不順,"
41,補中益気湯,"子宮下垂,多汗症,疲れ,食後眠くなる,食後に眠くなる,食後の眠気,食欲がない,体力がない,だるい,声に元気がない,免疫アップ,風邪をひきやすい,胃下垂,汗かき,疲労感,疲れやすい,食欲不振,動悸,寝汗,不眠,白いつば,手足がだるい,味がしない,熱い食べ物が好き,声が小さい,下痢,無気力,息切れ,脱肛,胃下垂,病中の衰弱,病後の衰弱,"
27,麻黄湯,"インフルエンザ,高熱,寒気,風邪,咳,透明な鼻水,体力がある,汗が出ない,10代,20代,30代,40代,悪寒,節々の痛み,体の痛み,関節痛,腰痛,喘鳴,鼻づまり,鼻閉,頭痛,発熱,実証の風邪,"
127,麻黄附子細辛湯,"悪寒,背中の冷え,ゾクゾク,のどチクの風邪,のど痛,咽頭痛,咳,鼻水,水っぽい鼻水,透明な鼻水,頭痛,発熱,神経痛,帯状疱疹後神経痛,50代,60代,70代,高齢者,体力がない,虚証の風邪,"
55,麻杏甘石湯,"小児ぜんそく,気管支ぜんそく,咳,喘鳴,ゼエゼエ,痰,黄色い鼻水,緑色の鼻水,黄色い痰,緑色の痰,ネバネバな痰,濃い痰,発熱,汗が出る,口が渇く,体が熱い,熱感,熱の風邪,慢性的な咳,喘息,痔,風邪,"
78,麻杏よく甘湯,"筋肉痛,午後のほてり,乾燥肌,冷えると痛む,変形性膝関節症,夕方から痛む,痛めて間もない,夕方から発熱,"
126,麻子仁丸,"便秘,コロコロした便,兎の糞状,乾燥肌,疲れやすい,頻尿,手足の冷え,高齢者の便秘,"
36,木防已湯,"呼吸困難,息苦しい,喉が渇く,咳,喘鳴,ゼエゼエ,痰,起坐呼吸,心臓喘息,尿が少ない,むくみ,胸が苦しい,"
P72,ヨクイニン,"青年性扁平疣贅,尋常性疣贅,イボ,美肌,肌荒れ,"
52,よく苡仁湯,"慢性化,筋肉の痛み,関節痛,リウマチ,腫れていない関節痛,こわばり,患部の熱感,夕方から痛む,筋肉痛,関節炎,変形性膝関節症,"
54,抑肝散,"不眠症,小児夜なき,小児疳症,認知症,夜間徘徊,頭痛,めまい,イライラ,歯ぎしり,緊張しやすい,体に力が入る,筋緊張,怒りやすい,寝つきが悪い,不眠,抑うつ,腹直筋緊張,手足のしびれ,ノイローゼ,めまい,チック,斜視,自律神経失調症,更年期,"
83,抑肝散加陳皮半夏,"神経症,不眠症,小児夜なき,小児疳症,認知症,夜間徘徊,夜泣き,頭痛,めまい,イライラ,歯ぎしり,緊張しやすい,体に力が入る,筋緊張,怒りやすい,寝つきが悪い,不眠,抑うつ,腹直筋緊張,手足のしびれ,ノイローゼ,めまい,チック,斜視,自律神経失調症,更年期,落ち込み,不安,動悸,疲れやすい,疲労感,"
43,六君子湯,"胃痛,嘔吐,胃腸が弱い,胃腸虚弱,胃痛,だるい,胸やけ,疲れやすい,食欲不振,吐き気,食後に眠くなる,食後の眠気,華奢,疲労感,味がしない,腹痛,下痢しやすい,軟便,繊細,憂鬱,めまい,手足の冷え,感情不安定,怒りやすい,痰,むくみ,胃アトニー,消化不良,慢性胃腸炎,慢性胃炎,"
110,立効散,"抜歯後の疼痛,歯痛,歯の痛み,歯の炎症,歯茎の炎症,歯茎の腫れ,歯茎の化膿,顔面痛,"
76,竜胆瀉肝湯,"30代,40代,50代,体質改善,膀胱炎,尿道炎,膣炎,おりもの,陰部湿疹,排尿痛,残尿感,便秘,めまい,頭痛,耳鳴り,怒りやすい,手汗,肩こり,"
119,苓甘姜味辛夏仁湯,"鼻水,水っぽい鼻水,透明な鼻水,頭痛,発熱,体力がない,疲れやすい,虚証の風邪,麻黄が合わない,"
118,苓姜朮甘湯,"腰の冷え,下半身の冷え,寒いと悪化,手足の冷え,足腰が冷えて痛む,冷房病,頻尿,リウマチ,"
39,苓桂朮甘湯,"めまい,乗り物酔い,耳管開放症,吐き気,耳鳴り,頭痛,肩こり,動悸,立ちくらみ,のぼせ,難聴,気圧による耳の痛み,息切れ,悪心,貧血,手足の冷え,起立性調節障害,朝弱い小児,翼状片,ノイローゼ,ヒステリー,不安神経症,感情不安定,喉のつまり,抑うつ,"
87,六味地黄丸（六味丸）,"疲労感,疲れやすい,頻尿,トイレが近い,精力が弱い,インポテンツ,腰痛,のぼせ,暑がり,口が渇く,加齢,夜間尿,体力低下,目の衰え,耳の衰え,耳鳴り,発育不良,男性更年期,お腹の動悸,10代,20代,30代,40代,50代,"
